nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
VITALAIT Yaourt à boire,1,Produits Laitiers,1.940,,,,,Monoprix,Tunisie
DELICE Yaourt à boire,1,Produits Laitiers,1.940,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt,1,Produits Laitiers,2.710,,,,,Monoprix,Tunisie
VITALAIT Yaourt à boire protéiné,1,Produits Laitiers,3.990,,,,,Monoprix,Tunisie
VITALAIT Yaourt à boire protéiné,1,Produits Laitiers,3.990,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt à boire protéiné...,1,Produits Laitiers,4.180,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt à boire protéiné...,1,Produits Laitiers,4.180,,,,,Monoprix,Tunisie
MAJESTE Whey protein,1,Produits Laitiers,6.290,4.490,,,,Monoprix,Tunisie
NATILAIT Yaourt à boire,1,Produits Laitiers,4.790,,,,,Monoprix,Tunisie
VITALAIT Yaourt brassé,1,Produits Laitiers,4.920,,,,,Monoprix,Tunisie
DANUP Yaourt à boire,1,Produits Laitiers,5.750,,,,,Monoprix,Tunisie
DANUP Yaourt à boire,1,Produits Laitiers,5.750,,,,,Monoprix,Tunisie
VITALAIT BIFI Yaourt 0%,1,Produits Laitiers,5.780,,,,,Monoprix,Tunisie
VITALAIT Yaourt nature,1,Produits Laitiers,6.100,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt,1,Produits Laitiers,6.390,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,6.390,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,6.390,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,6.410,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aux fruits,1,Produits Laitiers,6.720,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,0.900,,,,,Monoprix,Tunisie
JOCKEY Fromage blanc,1,Produits Laitiers,0.940,,,,,Monoprix,Tunisie
CHEESY Préparation alimentaire rapé,1,Produits Laitiers,1.350,,,,,Monoprix,Tunisie
