nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Crème Dessert Gout Caramel Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout chocolat Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout fraise Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Noisette Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Pistache Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Vanille Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Croustina ChocoTom 35g,5,Épicerie,0.522,,,,,Otrity,Tunisie
Dragées aux amandes 20g,5,Épicerie,1.8,,,,,Otrity,Tunisie
Dragées Perles Donia 20g,5,Épicerie,1.8,,,,,Otrity,Tunisie
Fèves Cuites Mami 400 g,5,Épicerie,4.7,,,,,Otrity,Tunisie
Filet de Thon Sidi Daoud 120 g,5,Épicerie,9.5,,,,,Otrity,Tunisie
Gaufrettes CHOCOTOM 100g,5,Épicerie,1.55,,,,,Otrity,Tunisie
Gel douche Lilas Extrême Exotique 500 ML,5,Épicerie,5.034,,,,,Otrity,Tunisie
Haricot blanc MAMI 400G,5,Épicerie,4.8,,,,,Otrity,Tunisie
Haricots Rouges Mami 400 g,5,Épicerie,5.0,,,,,Otrity,Tunisie
Harissa du Cap Bon Cap Vert 380 g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Harissa du Cap Bon El Manara de Djerba 380 g,5,Épicerie,4.3,,,,,Otrity,Tunisie
Harissa du Cap Bon Le Petit Paris 380 g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Harissa du Cap Bon Zgolli 135 g,5,Épicerie,1.9,,,,,Otrity,Tunisie
Harissa EL MANARA TUCAL Tube 70g,5,Épicerie,1.72,,,,,Otrity,Tunisie
Harissa en bocal de 330g Aman Food,5,Épicerie,6.42,,,,,Otrity,Tunisie
Harissa ZINA 135gr,5,Épicerie,1.797,,,,,Otrity,Tunisie
Harissa ZINA 380gr,5,Épicerie,3.48,,,,,Otrity,Tunisie
Hommos Tahina 380G  MAMI,5,Épicerie,5.0,,,,,Otrity,Tunisie
Hrouss CARTHAGE  470 GR,5,Épicerie,2.28,,,,,Otrity,Tunisie
Hrouss Jouda  135g + 30g Offerts,5,Épicerie,2.132,,,,,Otrity,Tunisie
Hrouss Jouda 380g,5,Épicerie,4.296,,,,,Otrity,Tunisie
Hrouss Neblia-135g,5,Épicerie,1.875,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 1 L JAZIRA,5,Épicerie,11.95,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 5 L JAZIRA,5,Épicerie,55.0,,,,,Otrity,Tunisie
Huile d’olive extra vierge AL JAZIRA 3L,5,Épicerie,101.0,,,,,Otrity,Tunisie
Huile d’olive extra vierge AL JAZIRA 800g,5,Épicerie,33.7,,,,,Otrity,Tunisie
Huile d’olive extra vierge TRIO D’OR 750ML,5,Épicerie,12.9,,,,,Otrity,Tunisie
Huile de Friture Al Jazira 0.9l,5,Épicerie,5.04,,,,,Otrity,Tunisie
Huile de Friture Al Jazira 1.8L,5,Épicerie,9.42,,,,,Otrity,Tunisie
Huile de Friture Cristal 2L,5,Épicerie,10.92,,,,,Otrity,Tunisie
Huile de friture Fridéal Olina 5L,5,Épicerie,22.5,,,,,Otrity,Tunisie
Huile de Friture Frotòo 0.9l,5,Épicerie,5.2,,,,,Otrity,Tunisie
Huile de Maïs Al Jazira 1.8L,5,Épicerie,10.68,,,,,Otrity,Tunisie
Huile de maïs Al Jazira 900 ML,5,Épicerie,5.64,,,,,Otrity,Tunisie
Huile de maïs Lesieur  900 ML,5,Épicerie,5.59,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 3 L JAZIRA,5,Épicerie,34.5,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Beef Flavored, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Chicken Flavor, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Sausage Flavored, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
Ketchup BONNA  270ML,5,Épicerie,4.44,,,,,Otrity,Tunisie
Lait concentré sucré  Nestlé 370 gr,5,Épicerie,9.2,,,,,Otrity,Tunisie
Le Thon entier à l’huile végétale CAP AFRICA 400 g,5,Épicerie,12.0,,,,,Otrity,Tunisie
Lollo Caffè CLASSICO Sachet de 1kg en grains,5,Épicerie,45.0,,,,,Otrity,Tunisie
Maïs Doux CHEF 340g,5,Épicerie,5.7,,,,,Otrity,Tunisie
Maïs Doux GOLDEN 184gr,5,Épicerie,3.42,,,,,Otrity,Tunisie
Mayonnaise Bonna 270 ml,5,Épicerie,4.8,,,,,Otrity,Tunisie
Mayonnaise Bonna 720 ml,5,Épicerie,10.8,,,,,Otrity,Tunisie
Mayonnaise Jadida 900 ml,5,Épicerie,10.8,,,,,Otrity,Tunisie
Mélange pour Crème chantilly Vanoise 75g,5,Épicerie,2.95,,,,,Otrity,Tunisie
Mhamsa Maison 100g /100g محمص دياري,5,Épicerie,1.0,,,,,Otrity,Tunisie
Moutarde Bonna 260 ml,5,Épicerie,5.8,,,,,Otrity,Tunisie
MOUTARDE BONNA 720 ML,5,Épicerie,14.4,,,,,Otrity,Tunisie
Moutarde de dijon COVINOR 370ML,5,Épicerie,9.96,,,,,Otrity,Tunisie
Moutarde Dorelle 200g,5,Épicerie,5.8,,,,,Otrity,Tunisie
Moutarde Dorelle 700g,5,Épicerie,12.8,,,,,Otrity,Tunisie
Nescafé soft – 25g,5,Épicerie,4.567,,,,,Otrity,Tunisie
Nescafé soft – 50g,5,Épicerie,7.837,,,,,Otrity,Tunisie
Nouasser 100g / 100g نواصر,5,Épicerie,0.8,,,,,Otrity,Tunisie
Olives Sehli en bocal de 200g Aman Food,5,Épicerie,3.082,,,,,Otrity,Tunisie
Olives Verte Grosse en bocal de 200g Aman Food,5,Épicerie,3.082,,,,,Otrity,Tunisie
Olives Violette en bocal de 200g Aman Food,5,Épicerie,3.082,,,,,Otrity,Tunisie
Pâte hlalem 100g / 100g حلالم,5,Épicerie,1.0,,,,,Otrity,Tunisie
Pâte hlalem Warda,5,Épicerie,2.724,,,,,Otrity,Tunisie
Pâtes à tartiner Nutella,5,Épicerie,45.0,,,,,Otrity,Tunisie
Pâtes Cannelloni Randa,5,Épicerie,1.54,,,,,Otrity,Tunisie
Pâtes Cannelloni Warda,5,Épicerie,1.54,,,,,Otrity,Tunisie
Pâtes noodles INDOMIE 70gr Poulet,5,Épicerie,1.0,,,,,Otrity,Tunisie
Pâtes noodles INDOMIE 80gr  Mi Goreng,5,Épicerie,1.2,,,,,Otrity,Tunisie
Petit Pois Et Carottes 400G DURRA,5,Épicerie,5.0,,,,,Otrity,Tunisie
petits pois 400G MAMI,5,Épicerie,4.7,,,,,Otrity,Tunisie
Petits Pois Le Fnare Du Cap Bon 370g,5,Épicerie,2.7,,,,,Otrity,Tunisie
Pois Chiches MAMI 400G,5,Épicerie,4.7,,,,,Otrity,Tunisie
Poudre instantanée chocolat chaud SAID 30GR Classique,5,Épicerie,0.875,,,,,Otrity,Tunisie
Pulpe de tomates Sticap 380 g,5,Épicerie,3.0,,,,,Otrity,Tunisie
Riz Basmati ORZA 1KG,5,Épicerie,7.5,,,,,Otrity,Tunisie
Riz étuve Al Sakr 1kg,5,Épicerie,4.44,,,,,Otrity,Tunisie
Sardine à la sauce tomate ELMANAR 125g,5,Épicerie,3.0,,,,,Otrity,Tunisie
Sardines a l’Huile Végétale Lebhour 125gr,5,Épicerie,2.304,,,,,Otrity,Tunisie
Sauce à l’ail Bonna 270 ml,5,Épicerie,4.8,,,,,Otrity,Tunisie
Sauce Barbecue Bonna 270 ml,5,Épicerie,5.7,,,,,Otrity,Tunisie
Sauce fraîche Concassée JOUDA 400g,5,Épicerie,2.724,,,,,Otrity,Tunisie
Sauce Tomate à L’ail et Basilic 370g,5,Épicerie,2.0,,,,,Otrity,Tunisie
Sauce Tomate Ail Et Basilic CARTHAGE 400g,5,Épicerie,2.28,,,,,Otrity,Tunisie
Semoule grosse warda,5,Épicerie,0.79,,,,,Otrity,Tunisie
Sucettes Pik Pong 100 pièces,5,Épicerie,12.85,,,,,Otrity,Tunisie
Sucre en poudre 1Kg,5,Épicerie,1.63,,,,,Otrity,Tunisie
Sucre glace / 100g سكر محور,5,Épicerie,0.8,,,,,Otrity,Tunisie
Sucre Glace Vanoise 40g,5,Épicerie,2.1,,,,,Otrity,Tunisie
Sucre vanille 8GR LA PÂTISSIERE,5,Épicerie,0.224,,,,,Otrity,Tunisie
Tahina Le Moulin 400g,5,Épicerie,13.92,,,,,Otrity,Tunisie
Thon à l’huile d’olive Aljazia 400 g,5,Épicerie,11.0,,,,,Otrity,Tunisie
THON à L’HUILE OLIVE SIDI MANSOUR 400G,5,Épicerie,14.0,,,,,Otrity,Tunisie
Thon à l’huile végétale Le Marin 400 g,5,Épicerie,11.5,,,,,Otrity,Tunisie
Thon à l’huile végétale Neptune 400 g Traditionnel,5,Épicerie,11.5,,,,,Otrity,Tunisie
Thon en morceaux à l’huile d’olive LEBHOUR 130g,5,Épicerie,6.8,,,,,Otrity,Tunisie
Thon en morceaux à l’huile de tournesol El Manar 400g,5,Épicerie,12.5,,,,,Otrity,Tunisie
Thon en morceaux à l’huile de tournesol ELMANAR 160g,5,Épicerie,4.2,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Aljazia 130 g.,5,Épicerie,5.3,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Beb Bhar 400 g,5,Épicerie,10.0,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale ELBADR 130g,5,Épicerie,6.0,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale FNAR 400 g,5,Épicerie,10.0,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Le Grand Bleu 400 g,5,Épicerie,9.5,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Sidi Elbahri 400 g,5,Épicerie,9.5,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale El Ezz 130 g,5,Épicerie,3.9,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale FNAR 130g,5,Épicerie,3.7,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Jalta (La Galite) 130 g,5,Épicerie,3.8,,,,,Otrity,Tunisie
